x,y,talk
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,T: More comments about the meeting? I'd really like to hear from as many people as possible- What comments you had or reactions you had to being in that meeting yesterday. Sean? 
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,"S: I don't have anything about the meeting yesterday, but I was just thinking about six. It was a- I'm thinking that it's a- it's an odd- it can be an odd number too 'cause there could be two- Two, four, six, and two- three twos, that would make six- "
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,T: Uh-huh
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,"S: And two threes. It could be an odd and an even number. Both. Three things to make it, and there could be two things to make it."
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
448,638,
449,638,
450,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
451,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,"T: Uh-huh. And the two things that you put together to make it were odd, right? Three and three are each odd? "
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,"S: Uh-huh, and I think the other- the twos were even."
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,"T: So you're kind of- I think Nathan said then that he wasn't talking about every even number. Right, Nathan? Were you saying that?"
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,"T: Some of the even numbers, like six, are made up of two odds like you just suggested. Other people's comments? Cassandra?"
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,C: I disagree with Sean when he said that six can be an odd number. I think six can't be an odd number because- Look-
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,"T: Jeannie, Betsy? "
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,"C: Six can't be an odd number because this is even, odd, even, odd, even, odd, even. How could it be an odd number because..."
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,S: Because- 
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,"C: Even, odd, even, odd, even, odd. Zero's not an odd number. "
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
452,638,
